cityname,i_o_length,prediction_horizon,grid_size,time_stamp,IC_temp
london,4,1,55,6231,0
london,4,1,55,7101,0
london,4,1,55,466,0
london,4,1,55,8871,15972.0
london,4,1,55,2291,78847.0
london,4,1,55,6944,0
london,4,1,55,5215,0
london,4,1,55,4200,0
london,4,1,55,5147,0
london,4,1,55,6685,0
london,4,1,55,1117,0
london,4,1,55,2547,32616.0
london,4,1,55,8997,11558.0
london,4,1,55,7060,2923.0
london,4,1,55,8211,4053.0
london,4,1,55,7150,9729.0
london,4,1,55,4179,14382.0
london,4,1,55,7903,0
london,4,1,55,6101,0
london,4,1,55,5297,0
london,4,1,55,8562,0
london,4,1,55,8471,0
london,4,1,55,4197,9658.0
london,4,1,55,3408,0
london,4,1,55,8465,13816.0
london,4,1,55,7124,0
london,4,1,55,7830,0
london,4,1,55,7727,0
london,4,1,55,7989,0
london,4,1,55,819,0
london,4,1,55,3984,12830.0
london,4,1,55,7540,7560.0
london,4,1,55,7897,0
london,4,1,55,2828,3712.0
london,4,1,55,943,0
london,4,1,55,3199,202171.0
london,4,1,55,6201,0
london,4,1,55,5144,10872.0
london,4,1,55,5103,0
london,4,1,55,6137,0
london,4,1,55,8778,0
london,4,1,55,4213,2091.0
london,4,1,55,7222,0
london,4,1,55,7472,0
london,4,1,55,8318,0
london,4,1,55,907,0
london,4,1,55,3998,0
london,4,1,55,4068,0
london,4,1,55,4796,0
london,4,1,55,7655,0
london,4,1,55,5155,0
london,4,1,55,1621,0
london,4,1,55,7287,0
london,4,1,55,2175,9667.0
london,4,1,55,6003,0
london,4,1,55,6916,8310.0
london,4,1,55,1278,11724.0
london,4,1,55,8844,0
london,4,1,55,3698,3013.0
london,4,1,55,4322,17303.0
london,4,1,55,6829,6781.0
london,4,1,55,2034,0
london,4,1,55,6620,4036.0
london,4,1,55,7470,0
london,4,1,55,6069,5843.0
london,4,1,55,4991,0
london,4,1,55,4486,0
london,4,1,55,5619,0
london,4,1,55,1816,7023.0
london,4,1,55,4437,0
london,4,1,55,5345,6184.0
london,4,1,55,8077,0
london,4,1,55,8827,0
london,4,1,55,6157,34792.0
london,4,1,55,4911,55042.0
london,4,1,55,107,0
london,4,1,55,4410,13000.0
london,4,1,55,7338,0
london,4,1,55,6949,5559.0
london,4,1,55,7715,0
london,4,1,55,3928,11178.0
london,4,1,55,6441,0
london,4,1,55,7478,0
london,4,1,55,8560,0
london,4,1,55,7795,2668.0
london,4,1,55,4801,0
london,4,1,55,2003,4368.0
london,4,1,55,7298,0
london,4,1,55,5575,0
london,4,1,55,4547,0
london,4,1,55,6869,9848.0
london,4,1,55,5219,27465.0
london,4,1,55,498,15718.0
london,4,1,55,2675,9469.0
london,4,1,55,2871,3128.0
london,4,1,55,2818,0
london,4,1,55,4953,0
london,4,1,55,8968,12873.0
london,4,1,55,2416,0
london,4,1,55,6285,0
london,4,1,55,1591,0
london,4,1,55,7341,0
london,4,1,55,7257,0
london,4,1,55,5465,3678.0
london,4,1,55,2477,0
london,4,1,55,2015,0
london,4,1,55,5099,13378.0
london,4,1,55,5873,0
london,4,1,55,8584,1187.0
london,4,1,55,3638,0
london,4,1,55,8695,0
london,4,1,55,8390,1323.0
london,4,1,55,8382,12060.0
london,4,1,55,7565,0
london,4,1,55,8664,0
london,4,1,55,1192,0
london,4,1,55,7806,0
london,4,1,55,8600,1850.0
london,4,1,55,3876,968.0
london,4,1,55,7706,32993.0
london,4,1,55,224,16462.0
london,4,1,55,7575,0
london,4,1,55,3314,0
london,4,1,55,8463,0
london,4,1,55,3346,0
london,4,1,55,5052,0
london,4,1,55,2446,23025.0
