cityname,i_o_length,prediction_horizon,grid_size,thresh,cx_sample_whole_data,cx_sample_single_point,CSR_PM_frac,CSR_PM_count,CSR_PM_no_thresh_median,CSR_PM_no_thresh_mean,,
melbourne,1,4,65,100,800,40,0.00375,3,NULL,NULL,NULL,NULL
melbourne,1,4,65,200,800,40,0.00125,1,NULL,NULL,NULL,NULL
melbourne,1,4,65,400,800,40,0.15375,123,NULL,NULL,NULL,NULL
melbourne,1,4,65,600,800,40,0.565,452,NULL,NULL,NULL,NULL
melbourne,1,4,65,800,800,40,0.80375,643,NULL,NULL,NULL,NULL
melbourne,1,4,65,1100,800,40,0.62625,501,NULL,NULL,NULL,NULL
melbourne,1,4,65,1300,800,40,0.48,384,NULL,NULL,NULL,NULL
melbourne,1,4,65,1500,800,40,0.32,256,NULL,NULL,NULL,NULL
melbourne,1,4,65,2000,800,40,0.01375,11,NULL,NULL,NULL,NULL
melbourne,1,4,65,2500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,65,3000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,65,3500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,75,100,800,40,0.01,8,NULL,NULL,NULL,NULL
melbourne,1,4,75,200,800,40,0.0075,6,NULL,NULL,NULL,NULL
melbourne,1,4,75,400,800,40,0.1675,134,NULL,NULL,NULL,NULL
melbourne,1,4,75,600,800,40,0.5675,454,NULL,NULL,NULL,NULL
melbourne,1,4,75,800,800,40,0.81125,649,NULL,NULL,NULL,NULL
melbourne,1,4,75,1100,800,40,0.57375,459,NULL,NULL,NULL,NULL
melbourne,1,4,75,1300,800,40,0.38,304,NULL,NULL,NULL,NULL
melbourne,1,4,75,1500,800,40,0.16125,129,NULL,NULL,NULL,NULL
melbourne,1,4,75,2000,800,40,0.005,4,NULL,NULL,NULL,NULL
melbourne,1,4,75,2500,800,40,0.0025,2,NULL,NULL,NULL,NULL
melbourne,1,4,75,3000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,75,3500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,85,100,800,40,0.01,8,NULL,NULL,NULL,NULL
melbourne,1,4,85,200,800,40,0.00625,5,NULL,NULL,NULL,NULL
melbourne,1,4,85,400,800,40,0.13375,107,NULL,NULL,NULL,NULL
melbourne,1,4,85,600,800,40,0.5575,446,NULL,NULL,NULL,NULL
melbourne,1,4,85,800,800,40,0.81375,651,NULL,NULL,NULL,NULL
melbourne,1,4,85,1100,800,40,0.61,488,NULL,NULL,NULL,NULL
melbourne,1,4,85,1300,800,40,0.47,376,NULL,NULL,NULL,NULL
melbourne,1,4,85,1500,800,40,0.28125,225,NULL,NULL,NULL,NULL
melbourne,1,4,85,2000,800,40,0.02625,21,NULL,NULL,NULL,NULL
melbourne,1,4,85,2500,800,40,0.00375,3,NULL,NULL,NULL,NULL
melbourne,1,4,85,3000,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,85,3500,800,40,0.0,0,NULL,NULL,NULL,NULL
melbourne,1,4,105,100,800,40,0.00625,5,NULL,NULL,NULL,NULL
melbourne,1,4,105,200,800,40,0.01125,9,NULL,NULL,NULL,NULL
melbourne,1,4,105,400,800,40,0.07875,63,NULL,NULL,NULL,NULL
melbourne,1,4,105,600,800,40,0.4875,390,NULL,NULL,NULL,NULL
melbourne,1,4,105,800,800,40,0.8175,654,NULL,NULL,NULL,NULL
melbourne,1,4,105,1100,800,40,0.6325,506,NULL,NULL,NULL,NULL
melbourne,1,4,105,1300,800,40,0.5025,402,NULL,NULL,NULL,NULL
melbourne,1,4,105,1500,800,40,0.35875,287,NULL,NULL,NULL,NULL
melbourne,1,4,105,2000,800,40,0.02875,23,NULL,NULL,NULL,NULL
melbourne,1,4,105,2500,800,40,0.0025,2,NULL,NULL,NULL,NULL
london,4,1,55,100,800,40,0.00625,5,NULL,NULL,NULL,NULL
london,4,1,55,200,800,40,0.0125,10,NULL,NULL,NULL,NULL
london,4,1,55,400,800,40,0.02125,17,NULL,NULL,NULL,NULL
london,4,1,55,600,800,40,0.03,24,NULL,NULL,NULL,NULL
london,4,1,55,800,800,40,0.05375,43,NULL,NULL,NULL,NULL
london,4,1,55,1100,800,40,0.16875,135,NULL,NULL,NULL,NULL
london,4,1,55,1300,800,40,0.375,300,NULL,NULL,NULL,NULL
london,4,1,55,1500,800,40,0.65125,521,NULL,NULL,NULL,NULL
london,4,1,55,2000,800,40,0.82,656,NULL,NULL,NULL,NULL
london,4,1,55,2500,800,40,0.88375,707,NULL,NULL,NULL,NULL
london,4,1,55,3000,800,40,0.92875,743,NULL,NULL,NULL,NULL
london,4,1,55,3500,800,40,0.9,720,NULL,NULL,NULL,NULL
london,4,2,55,100,800,40,0.01,8,NULL,NULL,NULL,NULL
london,4,2,55,200,800,40,0.005,4,NULL,NULL,NULL,NULL
london,4,2,55,400,800,40,0.035,28,NULL,NULL,NULL,NULL
london,4,2,55,600,800,40,0.0425,34,NULL,NULL,NULL,NULL
london,4,2,55,800,800,40,0.06125,49,NULL,NULL,NULL,NULL
london,4,2,55,1100,800,40,0.1625,130,NULL,NULL,NULL,NULL
london,4,2,55,1300,800,40,0.41,328,NULL,NULL,NULL,NULL
london,4,2,55,1500,800,40,0.665,532,NULL,NULL,NULL,NULL
london,4,2,55,2000,800,40,0.85375,683,NULL,NULL,NULL,NULL
london,4,2,55,2500,800,40,0.90375,723,NULL,NULL,NULL,NULL
london,4,2,55,3000,800,40,0.9025,722,NULL,NULL,NULL,NULL
london,4,2,55,3500,800,40,0.9025,722,NULL,NULL,NULL,NULL
london,4,3,55,100,800,40,0.00875,7,NULL,NULL,NULL,NULL
london,4,3,55,200,800,40,0.015,12,NULL,NULL,NULL,NULL
london,4,3,55,400,800,40,0.01,8,NULL,NULL,NULL,NULL
london,4,3,55,600,800,40,0.0275,22,NULL,NULL,NULL,NULL
london,4,3,55,800,800,40,0.06625,53,NULL,NULL,NULL,NULL
london,4,3,55,1100,800,40,0.17,136,NULL,NULL,NULL,NULL
london,4,3,55,1300,800,40,0.38375,307,NULL,NULL,NULL,NULL
london,4,3,55,1500,800,40,0.64125,513,NULL,NULL,NULL,NULL
london,4,3,55,2000,800,40,0.8625,690,NULL,NULL,NULL,NULL
london,4,3,55,2500,800,40,0.9175,734,NULL,NULL,NULL,NULL
london,4,3,55,3000,800,40,0.91125,729,NULL,NULL,NULL,NULL
london,4,3,55,3500,800,40,0.89125,713,NULL,NULL,NULL,NULL
london,4,4,55,100,800,40,0.0075,6,NULL,NULL,NULL,NULL
london,4,4,55,200,800,40,0.01125,9,NULL,NULL,NULL,NULL
london,4,4,55,400,800,40,0.02875,23,NULL,NULL,NULL,NULL
london,4,4,55,600,800,40,0.03875,31,NULL,NULL,NULL,NULL
london,4,4,55,800,800,40,0.05,40,NULL,NULL,NULL,NULL
